Rank,Full Journal Title,Abbreviated Title,ISSN,Total Cites,Journal Impact Factor
43,EUROPEAN HEART JOURNAL,EUR HEART J,0195668X,32.6,37.6
43,EUROPEAN HEART JOURNAL,EUR HEART J,15229645,32.6,37.6
44,MMWR Surveillance Summaries,MMWR SURVEILL SUMM,15458636,30.2,37.3
45,NATURE MATERIALS,NAT MATER,14761122,44,37.2
45,NATURE MATERIALS,NAT MATER,14764660,44,37.2
46,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,14733099,32.4,36.4
46,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,14744457,32.4,36.4
47,NATURE METHODS,NAT METHODS,15487091,45.6,36.1
47,NATURE METHODS,NAT METHODS,15487105,45.6,36.1
48,CIRCULATION,CIRCULATION,00097322,32.7,35.5
48,CIRCULATION,CIRCULATION,15244539,32.7,35.5
49,ADVANCES IN PHYSICS,ADV PHYS,00018732,41.3,35
49,ADVANCES IN PHYSICS,ADV PHYS,14606976,41.3,35
50,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,1553877X,34,34.4
51,Nature Electronics,NAT ELECTRON,25201131,39.2,33.7
52,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,00796425,41.2,33.6
52,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,18732208,41.2,33.6
53,Innovation,INNOVATION-AMSTERDAM,26666758,31.8,33.2
54,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,10870156,56.9,33.1
54,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,15461696,56.9,33.1
55,Energy & Environmental Science,ENERG ENVIRON SCI,17545692,34.5,32.4
55,Energy & Environmental Science,ENERG ENVIRON SCI,17545706,34.5,32.4
56,Nature Photonics,NAT PHOTONICS,17494885,35.8,32.3
56,Nature Photonics,NAT PHOTONICS,17494893,35.8,32.3
57,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,03601285,36.8,32
57,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,1873216X,36.8,32
58,NATURE GENETICS,NAT GENET,10614036,36.6,31.7
58,NATURE GENETICS,NAT GENET,15461718,36.6,31.7
59,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,0927796X,34.3,31.6
59,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,1879212X,34.3,31.6
60,Nano-Micro Letters,NANO-MICRO LETT,23116706,26,31.6
60,Nano-Micro Letters,NANO-MICRO LETT,21505551,26,31.6
61,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,17595029,46.8,31
61,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,17595037,46.8,31
62,Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,24681253,29.6,30.9
63,Lancet Psychiatry,LANCET PSYCHIAT,22150374,36.8,30.8
64,Physiological Reviews,PHYSIOL REV,00319333,45,29.9
64,Physiological Reviews,PHYSIOL REV,15221210,45,29.9
65,Cancer Discovery,CANCER DISCOV,21598274,32.4,29.7
65,Cancer Discovery,CANCER DISCOV,21598290,32.4,29.7
66,Nature Climate Change,NAT CLIM CHANGE,1758678X,31.1,29.6
66,Nature Climate Change,NAT CLIM CHANGE,17586798,31.1,29.6
67,Journal of Hematology & Oncology,J HEMATOL ONCOL,17568722,26.9,29.5
68,Nature Reviews Rheumatology,NAT REV RHEUMATOL,17594790,30.6,29.4
68,Nature Reviews Rheumatology,NAT REV RHEUMATOL,17594804,30.6,29.4
69,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,1471003X,37.4,28.7
69,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,14710048,37.4,28.7
70,Nature Reviews Nephrology,NAT REV NEPHROL,17595061,40,28.6
70,Nature Reviews Nephrology,NAT REV NEPHROL,1759507X,40,28.6
71,Advanced Powder Materials,ADV POWDER MATER,2772834X,28.6,28.6
72,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,15534006,35.2,28.4
72,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,15534014,35.2,28.4
73,Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,25208489,30.1,28.4
73,Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,25208136,30.1,28.4
74,Nature Reviews Neurology,NAT REV NEUROL,17594758,43.7,28.2
74,Nature Reviews Neurology,NAT REV NEUROL,17594766,43.7,28.2
75,CELL RESEARCH,CELL RES,10010602,36.4,28.1
75,CELL RESEARCH,CELL RES,17487838,36.4,28.1
76,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,09354956,29.1,27.8
76,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,14320754,29.1,27.8
77,Molecular Cancer,MOL CANCER,14764598,31.3,27.7
78,Cell Metabolism,CELL METAB,15504131,31.2,27.7
78,Cell Metabolism,CELL METAB,19327420,31.2,27.7
79,NATURE IMMUNOLOGY,NAT IMMUNOL,15292908,28.3,27.7
79,NATURE IMMUNOLOGY,NAT IMMUNOL,15292916,28.3,27.7
80,ADVANCED MATERIALS,ADV MATER,09359648,30.2,27.4
80,ADVANCED MATERIALS,ADV MATER,15214095,30.2,27.4
81,eLight,ELIGHT,20971710,27.2,27.2
81,eLight,ELIGHT,26628643,27.2,27.2
82,INTENSIVE CARE MEDICINE,INTENS CARE MED,03424642,24,27.1
82,INTENSIVE CARE MEDICINE,INTENS CARE MED,14321238,24,27.1
83,Annual Review of Immunology,ANNU REV IMMUNOL,07320582,32,26.9
83,Annual Review of Immunology,ANNU REV IMMUNOL,15453278,32,26.9
84,Nature Biomedical Engineering,NAT BIOMED ENG,2157846X,29.2,26.8
85,JOURNAL OF HEPATOLOGY,J HEPATOL,01688278,28,26.8
85,JOURNAL OF HEPATOLOGY,J HEPATOL,16000641,28,26.8
86,Living Reviews in Relativity,LIVING REV RELATIV,23673613,37.9,26.3
86,Living Reviews in Relativity,LIVING REV RELATIV,14338351,37.9,26.3
87,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,00664146,36.7,26.3
87,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,15454282,36.7,26.3
88,Science Robotics,SCI ROBOT,24709476,33.7,26.1
89,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,00796700,29.5,26
89,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,18731619,29.5,26
90,Nature Sustainability,NAT SUSTAIN,23989629,29.9,25.7
91,Gastroenterology,GASTROENTEROLOGY,00165085,25.2,25.7
91,Gastroenterology,GASTROENTEROLOGY,15280012,25.2,25.7
92,Immunity,IMMUNITY,10747613,33.2,25.5
92,Immunity,IMMUNITY,10974180,33.2,25.5
93,Lancet Public Health,LANCET PUBLIC HEALTH,24682667,29.9,25.4
94,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,00664189,26.8,25.4
94,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,15454479,26.8,25.4
95,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,01492195,18.5,25.4
95,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,1545861X,18.5,25.4
96,EUROPEAN UROLOGY,EUR UROL,03022838,19.4,25.3
96,EUROPEAN UROLOGY,EUR UROL,18737560,19.4,25.3
97,REVIEWS OF GEOPHYSICS,REV GEOPHYS,87551209,32.5,25.2
97,REVIEWS OF GEOPHYSICS,REV GEOPHYS,19449208,32.5,25.2
98,Advances in Optics and Photonics,ADV OPT PHOTONICS,19438206,25.8,25.2
99,JAMA Pediatrics,JAMA PEDIATR,21686203,20.4,24.7
99,JAMA Pediatrics,JAMA PEDIATR,21686211,20.4,24.7
100,Interdisciplinary Materials,INTERD MATER,27674401,24.7,24.5
100,Interdisciplinary Materials,INTERD MATER,2767441X,24.7,24.5
101,FUNGAL DIVERSITY,FUNGAL DIVERS,15602745,24.1,24.5
101,FUNGAL DIVERSITY,FUNGAL DIVERS,18789129,24.1,24.5
102,Advanced Energy Materials,ADV ENERGY MATER,16146832,27.2,24.4
102,Advanced Energy Materials,ADV ENERGY MATER,16146840,27.2,24.4
103,Lancet Planetary Health,LANCET PLANET HEALTH,25425196,25.6,24.1
104,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,03701573,25.7,23.9
104,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,18736270,25.7,23.9
105,Lancet Digital Health,LANCET DIGIT HEALTH,25897500,27.7,23.8
106,ACM COMPUTING SURVEYS,ACM COMPUT SURV,03600300,21.1,23.8
106,ACM COMPUTING SURVEYS,ACM COMPUT SURV,15577341,21.1,23.8
107,iMeta,IMETA,27705986,23.7,23.7
107,iMeta,IMETA,2770596X,23.7,23.7
108,Annual Review of Psychology,ANNU REV PSYCHOL,00664308,27.9,23.6
108,Annual Review of Psychology,ANNU REV PSYCHOL,15452085,27.9,23.6
109,Nature Food,NAT FOOD,26621355,25,23.6
110,Nature Cancer,NAT CANCER,26621347,24.6,23.5
111,PROCEEDINGS OF THE IEEE,P IEEE,00189219,18.4,23.2
111,PROCEEDINGS OF THE IEEE,P IEEE,15582256,18.4,23.2
112,Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,25220128,17.7,23.2
112,Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,25220136,17.7,23.2
113,Living Reviews in Solar Physics,LIVING REV SOL PHYS,23673648,24.6,23
113,Living Reviews in Solar Physics,LIVING REV SOL PHYS,16144961,24.6,23
114,GUT,GUT,00175749,24.5,23
114,GUT,GUT,14683288,24.5,23
115,InfoMat,INFOMAT,25673165,21.7,22.7
116,JAMA Oncology,JAMA ONCOL,23742437,25.9,22.5
116,JAMA Oncology,JAMA ONCOL,23742445,25.9,22.5
117,JAMA Internal Medicine,JAMA INTERN MED,21686106,22.5,22.5
117,JAMA Internal Medicine,JAMA INTERN MED,21686114,22.5,22.5
118,JAMA Psychiatry,JAMA PSYCHIAT,2168622X,22.3,22.5
118,JAMA Psychiatry,JAMA PSYCHIAT,21686238,22.3,22.5
119,EnergyChem,ENERGYCHEM,25897780,25.4,22.2
120,ENDOCRINE REVIEWS,ENDOCR REV,0163769X,26.5,22
120,ENDOCRINE REVIEWS,ENDOCR REV,19457189,26.5,22
121,Cellular & Molecular Immunology,CELL MOL IMMUNOL,16727681,19.9,21.8
121,Cellular & Molecular Immunology,CELL MOL IMMUNOL,20420226,19.9,21.8
122,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,07351097,24.2,21.7
122,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,15583597,24.2,21.7
123,Annual Review of Public Health,ANNU REV PUBL HEALTH,01637525,25.7,21.4
123,Annual Review of Public Health,ANNU REV PUBL HEALTH,15452093,25.7,21.4
124,Nature Human Behaviour,NAT HUM BEHAV,23973374,20.4,21.4
125,Annual Review of Plant Biology,ANNU REV PLANT BIOL,15435008,28.2,21.3
125,Annual Review of Plant Biology,ANNU REV PLANT BIOL,15452123,28.2,21.3
126,NATURE NEUROSCIENCE,NAT NEUROSCI,10976256,25.6,21.2
126,NATURE NEUROSCIENCE,NAT NEUROSCI,15461726,25.6,21.2
127,Materials Today,MATER TODAY,13697021,25.4,21.1
127,Materials Today,MATER TODAY,18734103,25.4,21.1
128,BLOOD,BLOOD,00064971,19.2,21
128,BLOOD,BLOOD,15280020,19.2,21
129,Journal of Thoracic Oncology,J THORAC ONCOL,15560864,16.5,21
129,Journal of Thoracic Oncology,J THORAC ONCOL,15561380,16.5,21
130,Lancet Microbe,LANCET MICROBE,26665247,23.4,20.9
131,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,01628828,22.2,20.8
131,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,19393539,22.2,20.8
132,Cell Host & Microbe,CELL HOST MICROBE,19313128,22.1,20.6
132,Cell Host & Microbe,CELL HOST MICROBE,19346069,22.1,20.6
133,Light-Science & Applications,LIGHT-SCI APPL,20955545,20.3,20.6
133,Light-Science & Applications,LIGHT-SCI APPL,20477538,20.3,20.6
134,Advanced Photonics,ADV PHOTONICS,25775421,16.5,20.6
135,Nature Microbiology,NAT MICROBIOL,20585276,21,20.5
136,JAMA Neurology,JAMA NEUROL,21686149,20.4,20.4
136,JAMA Neurology,JAMA NEUROL,21686157,20.4,20.4
137,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,00108545,19.9,20.3
137,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,18733840,19.9,20.3
138,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,00034967,18.4,20.3
138,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,14682060,18.4,20.3
139,Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,09263373,18.9,20.2
139,Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,18733883,18.9,20.2
140,Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,20972415,0,20.2
140,Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,23699698,0,20.2
141,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,02684012,19.2,20.1
141,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,18734707,19.2,20.1
142,Cancer Communications,CANCER COMMUN,25233548,16.7,20.1
143,Lancet Global Health,LANCET GLOB HEALTH,2214109X,26.4,19.9
144,Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,23524642,19.8,19.9
145,Cell Stem Cell,CELL STEM CELL,19345909,22.6,19.8
145,Cell Stem Cell,CELL STEM CELL,18759777,22.6,19.8
146,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,00034819,28.8,19.6
146,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,15393704,28.8,19.6
147,Carbon Energy,CARBON ENERGY,26379368,19.9,19.5
148,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,00316997,22.1,19.3
148,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,15210081,22.1,19.3
149,ACS Energy Letters,ACS ENERGY LETT,23808195,20.8,19.3
150,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073449X,20,19.3
150,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,15354970,20,19.3
151,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,03637425,17.1,19.3
151,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,19303807,17.1,19.3
152,Kidney International Supplements,KIDNEY INT SUPPL,21571724,14.2,19.3
152,Kidney International Supplements,KIDNEY INT SUPPL,21571716,14.2,19.3
153,Nature Chemistry,NAT CHEM,17554330,22,19.2
153,Nature Chemistry,NAT CHEM,17554349,22,19.2
154,Chem,CHEM-US,24519294,23.8,19.1
155,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,08938512,33.8,19
155,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,10986618,33.8,19
156,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,00344885,18.2,19
156,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,13616633,18.2,19
157,Nature Metabolism,NAT METAB,25225812,21,18.9
158,Energy Storage Materials,ENERGY STORAGE MATER,24058297,18.4,18.9
158,Energy Storage Materials,ENERGY STORAGE MATER,24058289,18.4,18.9
159,Nature Machine Intelligence,NAT MACH INTELL,25225839,26.4,18.8
160,Science Bulletin,SCI BULL,20959273,15.8,18.8
160,Science Bulletin,SCI BULL,20959281,15.8,18.8
161,SusMat,SUSMAT,27668479,18.7,18.7
161,SusMat,SUSMAT,26924552,18.7,18.7
162,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,13509462,20.3,18.6
162,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,18731635,20.3,18.6
163,Journal of Advanced Ceramics,J ADV CERAM,22264108,15,18.6
163,Journal of Advanced Ceramics,J ADV CERAM,22278508,15,18.6
164,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616301X,19.6,18.5
164,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,16163028,19.6,18.5
165,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,15291006,40,18.2
165,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,15396053,40,18.2
166,Bioactive Materials,BIOACT MATER,2452199X,18.2,18
167,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,15485943,21.9,17.8
167,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,15485951,21.9,17.8
168,Nature Physics,NAT PHYS,17452473,19.3,17.6
168,Nature Physics,NAT PHYS,17452481,19.3,17.6
169,Science Immunology,SCI IMMUNOL,24709468,19.1,17.6
170,PERIODONTOLOGY 2000,PERIODONTOL 2000,09066713,16.8,17.5
170,PERIODONTOLOGY 2000,PERIODONTOL 2000,16000757,16.8,17.5
171,NATURE CELL BIOLOGY,NAT CELL BIOL,14657392,24.2,17.3
171,NATURE CELL BIOLOGY,NAT CELL BIOL,14764679,24.2,17.3
172,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,00332909,24.1,17.3
172,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,19391455,24.1,17.3
173,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,13601385,20.1,17.3
173,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,18784372,20.1,17.3
174,Matter,MATTER-US,25902393,18.9,17.3
174,Matter,MATTER-US,25902385,18.9,17.3
175,Computational Visual Media,COMPUT VIS MEDIA,20960433,0,17.3
175,Computational Visual Media,COMPUT VIS MEDIA,20960662,0,17.3
176,Advanced Fiber Materials,ADV FIBER MATER,25247921,15.7,17.2
176,Advanced Fiber Materials,ADV FIBER MATER,2524793X,15.7,17.2
177,IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,19373333,0,17.2
177,IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,19411189,0,17.2
178,Molecular Plant,MOL PLANT,16742052,21.4,17.1
178,Molecular Plant,MOL PLANT,17529867,21.4,17.1
179,Nature Aging,NATURE AGING,26628465,17,17
180,AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,15265161,12.3,17
180,AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,15360075,12.3,17
181,EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,13889842,16.2,16.9
181,EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,18790844,16.2,16.9
182,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,17590876,20,16.8
182,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,17590884,20,16.8
183,INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,09506608,18.7,16.8
183,INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,17432804,18.7,16.8
184,Nature Reviews Psychology,NAT REV PSYCHOL,27310574,16.8,16.8
185,Nano Energy,NANO ENERGY,22112855,16.3,16.8
185,Nano Energy,NANO ENERGY,22113282,16.3,16.8
186,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,13646613,21.8,16.7
186,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,1879307X,21.8,16.7
187,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,01695347,18.2,16.7
187,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,18728383,18.2,16.7
188,Military Medical Research,MILITARY MED RES,20957467,14.8,16.7
188,Military Medical Research,MILITARY MED RES,20549369,14.8,16.7
189,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,09031936,17.6,16.6
189,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,13993003,17.6,16.6
190,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140525X,16.6,16.6
190,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,14691825,16.6,16.6
191,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,03051048,16.1,16.6
191,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,13624962,16.1,16.6
192,CIRCULATION RESEARCH,CIRC RES,00097330,20.3,16.5
192,CIRCULATION RESEARCH,CIRC RES,15244571,20.3,16.5
193,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,00014842,20.2,16.4
193,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,15204898,20.2,16.4
194,NEURO-ONCOLOGY,NEURO-ONCOLOGY,15228517,14.9,16.4
194,NEURO-ONCOLOGY,NEURO-ONCOLOGY,15235866,14.9,16.4
195,ACTA NUMERICA,ACTA NUMER,09624929,18.8,16.3
195,ACTA NUMERICA,ACTA NUMER,14740508,18.8,16.3
196,National Science Review,NATL SCI REV,20955138,18.6,16.3
196,National Science Review,NATL SCI REV,2053714X,18.6,16.3
197,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,00333190,17.5,16.3
197,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,14230348,17.5,16.3
198,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,13640321,16.8,16.3
